country,population,GDPperCapita,netFootprint,Area Abbreviation,continent,totalProduction,totalGHG,HDI2015,binomFootprint,transFootprint
Romania,21.76,921394,-0.39,ROU,EU,60787,108.6718,0.802,0,2.681706225762608
Russia,143.17,1332020,1.1,RUS,EA,370849,2254.4727,0.804,1,2.7788192719904172
Rwanda,11.46,62808,-0.32,RWA,AF,18547,5.7218,0.498,0,2.6864860231863696
Saint Kitts,0.05,1295250,-4.31,KNA,"NA",56,0.3393,0.765,0,2.3693087250369538
Saint Lucia,0.18,773720,-2.1,LCA,"NA",229,1.1439,0.735,0,2.5572273113676265
Saint Vincent,0.11,617148,-1.85,VCT,"NA",221,0.3151,0.722,0,2.5764217586237734
Samoa,0.19,406715,-0.85,WSM,OC,337,0.3807,0.704,0,2.649714624089247
Saudi Arabia,28.29,2359380,-5.12,SAU,AS,59536,526.967,0.847,0,2.2905125117597764
Senegal,13.73,107927,-0.16,SEN,AF,10727,28.1186,0.494,0,2.6973262377392344
Serbia,9.55,642618,-1.44,SRB,EU,25397,-19.0075,0.776,0,2.6071242825122494
Sierra Leone,5.98,49989,0,SLE,AF,7944,13.0168,0.42,1,2.70805020110221
Slovakia,5.45,1810310,-1.35,SVK,EU,10118,33.825,0.845,0,2.613739521630969
Slovenia,2.07,2504050,-3.47,SVN,EU,4495,3.6385,0.89,0,2.4449523342809676
Solomon Islands,0.55,164786,3.08,SLB,OC,727,2.3062,0.515,1,2.89480635496403
South Africa,52.39,808987,-2.16,ZAF,AF,70240,463.7507,0.666,0,2.552565298261815
Spain,46.76,3200870,-2.42,ESP,EU,137594,323.4846,0.884,0,2.5321082512722946
Sri Lanka,21.1,288003,-0.88,LKA,AS,21078,45.2091,0.766,0,2.647592232065096
Suriname,0.54,819070,85.08,SUR,SA,752,8.6304,0.725,1,4.605969866158656
Swaziland,1.23,465748,-1.14,SWZ,AF,1381,2.8528,0.541,0,2.6290069937617573
Sweden,9.51,5938190,3.38,SWE,EU,26652,31.2258,0.913,1,2.911263116927541
Switzerland,8,8850620,-4.48,CHE,EU,19550,48.0715,0.939,0,2.3532782073095637
Tajikistan,8.01,83617,-0.38,TJK,AS,14092,9.0919,0.627,0,2.6823904543216326
Tanzania,47.78,76533,-0.24,TZA,AF,59132,171.7267,0.531,0,2.6919208191723265
Thailand,66.78,547929,-1.42,THA,AS,97665,375.7072,0.74,0,2.60859812213055
Togo,6.64,58086,-0.6,TGO,AF,6681,5.8001,0.487,0,2.667228206581955
Trinidad,1.34,1831080,-6.36,TTO,"NA",1943,40.4024,0.78,0,2.1564025828159643
Tunisia,10.88,430507,-1.4,TUN,AF,22819,30.6972,0.725,0,2.6100697927420065
Turkey,74,1043770,-1.81,TUR,EA,180575,390.8648,0.767,0,2.579458966729223
Turkmenistan,5.17,529014,-2.68,TKM,AS,12052,108.3202,0.692,0,2.511223958105374
Uganda,36.35,60135,-0.66,UGA,AF,40944,49.4258,0.493,0,2.663052835171474
Ukraine,45.53,358963,-0.58,UKR,EU,153736,366.3097,0.743,0,2.668616131856803
UK,63.03,4098050,-3.62,GBR,EU,149789,550.6643,0.91,0,2.431857428698185
United Arab Emirates,9.206,4081740,-7.37,ARE,AS,15440,216.0427,0.84,0,2.0320878452963655
Uruguay,3.4,1423810,7.41,URY,SA,7790,14.7594,0.795,1,3.1095072878128356
Uzbekistan,28.54,156085,-1.4,UZB,AS,67243,237.7777,0.701,0,2.6100697927420065
Venezuela,29.96,1023780,-0.79,VEN,SA,45416,396.7376,0.767,0,2.6539459421090092
Vietnam,90.8,153231,-0.65,VNM,AS,128089,251.1827,0.683,0,2.66374994220563
Yemen,23.85,130230,-0.53,YEM,AS,18737,29.8396,0.482,0,2.6720775406433925
Zambia,14.08,174064,1.24,ZMB,AF,10994,119.8056,0.579,1,2.787477334733532
Zimbabwe,13.72,86591,-0.75,ZWE,AF,9786,62.9284,0.516,0,2.6567569067146595
